CoID,CountryName,Code,Year,Duration_compulsory_education,Start_age_compulsory_education,End_age_compulsory_education,Duration free education,Start_age_free_education,End_age_free_education
40,Afghanistan,AFG,2014,9,7,15,18,3,20
80,Albania,ALB,2014,9,6,14,a,a,a
120,Algeria,DZA,2014,10,6,15,20,3,22
200,Andorra,AND,2014,10,6,15,10,6,15
240,Angola,AGO,2014,6,6,11,6,6,11
260,Anguilla,AIA,2014,12,5,16,12,5,16
280,Antigua and Barbuda,ATG,2014,11,5,15,m,m,m
320,Argentina,ARG,2014,13,5,17,20,3,22
340,Armenia,ARM,2014,11,6,16,11,6,16
350,Aruba,ABW,2014,13,4,16,13,4,16
360,Australia,AUS,2014,10,6,15,14,4,17
400,Austria,AUT,2014,9,6,14,15,3,17
380,Azerbaijan,AZE,2014,9,6,14,11,6,16
440,Bahamas,BHS,2014,11,5,15,14,3,16
480,Bahrain,BHR,2014,9,6,14,12,6,17
500,Bangladesh,BGD,2014,5,6,10,m,m,m
520,Barbados,BRB,2014,11,5,15,13,3,15
8050,Belarus,BLR,2014,9,6,14,11,6,16
560,Belgium,BEL,2014,12,6,17,15,3,17
580,Belize,BLZ,2014,8,5,12,14,3,16
2040,Benin,BEN,2014,6,6,11,6,6,11
600,Bermuda,BMU,2014,13,5,17,16,1,17
640,Bhutan,BTN,2014,a,a,a,11,6,16
680,Bolivia (Plurinational State of),BOL,2014,14,4,17,19,4,22
570,Bosnia and Herzegovina,BIH,2014,9,6,14,9,6,14
720,Botswana,BWA,2014,a,a,a,a,a,a
760,Brazil,BRA,2014,14,4,17,m,m,m
8690,British Virgin Islands,VGB,2014,12,5,16,m,m,m
960,Brunei Darussalam,BRN,2014,9,6,14,a,a,a
1000,Bulgaria,BGR,2014,9,7,15,16,3,18
8540,Burkina Faso,BFA,2014,10,6,15,10,6,15
1080,Burundi,BDI,2014,a,a,a,m,m,m
1320,Cabo Verde,CAF,2014,10,6,15,8,6,13
4060,Cambodia,KHM,2014,a,a,a,9,6,14
1200,Cameroon,CMR,2014,6,6,11,6,6,11
1240,Canada,CAN,2014,10,6,15,m,m,m
1360,Cayman Islands,CPV,2014,12,4,15,14,3,16
1400,Central African Republic,CYM,2014,a,a,a,21,3,23
1480,Chad,TCD,2014,10,6,15,16,3,18
1520,Chile,CHL,2014,13,5,17,13,5,17
1560,China,CHN,2014,9,6,14,9,6,14
3440,"China, Hong Kong Special Administrative Region",HKG,2014,9,6,14,12,6,17
4460,"China, Macao Special Administrative Region",MAC,2014,10,5,14,15,3,17
1700,Colombia,COL,2014,10,5,14,15,3,17
1740,Comoros,COM,2014,6,6,11,m,m,m
1780,Congo,COG,2014,10,6,15,21,3,23
1840,Cook Islands,COK,2014,11,5,15,m,3,18
1880,Costa Rica,CRI,2014,11,4,14,13,4,16
3840,Côte d'Ivoire,CIV,2014,a,a,a,a,a,a
1020,Croatia,HRV,2014,8,7,14,8,7,14
1920,Cuba,CUB,2014,9,6,14,23,n,22
1960,Cyprus,CYP,2014,9,6,14,9,6,17
2020,Czech Republic,CZE,2014,9,6,14,13,6,18
4090,Democratic People's Republic of Korea,PRK,2014,11,6,16,12,5,16
8920,Democratic Republic of the Congo,COD,2014,6,6,11,6,6,11
2080,Denmark,DNK,2014,10,6,15,7,6,12
2620,Djibouti,DJI,2014,10,6,15,15,4,18
2120,Dominica,DMA,2014,11,5,15,11,5,15
2140,Dominican Republic,DOM,2014,15,3,17,15,3,17
2180,Ecuador,ECU,2014,15,3,17,22,1,22
2200,Egypt,EGY,2014,12,6,17,12,6,17
2220,El Salvador,SLV,2014,12,4,15,12,4,15
2260,Equatorial Guinea,GNQ,2014,6,7,12,6,7,12
2270,Eritrea,ERI,2014,a,a,a,a,a,a
2280,Estonia,EST,2014,9,7,15,16,3,18
2300,Ethiopia,ETH,2014,a,a,a,a,a,a
2420,Fiji,FJI,2014,a,a,a,a,a,a
2460,Finland,FIN,2014,10,7,16,a,a,a
2500,France,FRA,2014,11,6,16,m,m,m
2660,Gabon,GAB,2014,10,6,15,10,6,15
2700,Gambia,GMB,2014,9,7,15,9,7,15
2720,Georgia,GEO,2014,9,6,14,12,6,17
2760,Germany,DEU,2014,12,6,17,12,6,17
2880,Ghana,GHA,2014,11,4,14,11,4,14
3000,Greece,GRC,2014,9,6,14,14,4,17
3080,Grenada,GRD,2014,12,5,16,m,m,m
3200,Guatemala,GTM,2014,10,6,15,m,m,m
3240,Guinea,GIN,2014,6,7,12,6,7,12
6240,Guinea-Bissau,GNB,2014,9,6,14,a,a,a
3280,Guyana,GUY,2014,6,6,11,6,6,11
3320,Haiti,HTI,2014,6,6,11,m,m,m
3400,Honduras,HND,2014,12,5,16,14,3,16
3480,Hungary,HUN,2014,8,6,13,13,6,18
3520,Iceland,ISL,2014,10,6,15,a,a,a
3560,India,IND,2014,8,6,13,8,6,13
3600,Indonesia,IDN,2014,9,7,15,12,7,18
3640,Iran (Islamic Republic of),IRN,2014,8,6,13,8,6,13
3680,Iraq,IRQ,2014,6,6,11,19,4,22
3720,Ireland,IRL,2014,10,6,15,a,a,a
3760,Israel,ISR,2014,13,5,17,14,5,17
3800,Italy,ITA,2014,12,6,17,8,6,13
3880,Jamaica,JAM,2014,6,6,11,m,m,m
3920,Japan,JPN,2014,9,6,14,9,6,14
4000,Jordan,JOR,2014,10,6,15,10,6,15
4020,Kazakhstan,KAZ,2014,10,7,16,14,3,16
4040,Kenya,KEN,2014,12,6,17,12,6,17
2960,Kiribati,KIR,2014,9,6,14,9,6,14
4140,Kuwait,KWT,2014,9,6,14,12,6,17
4160,Kyrgyzstan,KGZ,2014,9,7,15,20,3,22
4180,Lao People's Democratic Republic,LAO,2014,5,6,10,5,6,10
4200,Latvia,LVA,2014,11,5,15,16,3,18
4220,Lebanon,LBN,2014,9,6,15,6,6,12
4260,Lesotho,LSO,2014,7,6,12,7,6,12
4300,Liberia,LBR,2014,6,6,11,6,6,11
4340,Libya,LBY,2014,9,6,14,9,6,14
4380,Liechtenstein,LIE,2014,9,6,14,9,6,14
4400,Lithuania,LTU,2014,9,7,15,11,7,17
4420,Luxembourg,LUX,2014,12,4,15,15,4,18
4500,Madagascar,MDG,2014,5,6,10,15,3,17
4540,Malawi,MWI,2014,a,a,a,m,m,m
4580,Malaysia,MYS,2014,6,6,11,7,6,12
4620,Maldives,MDV,2014,a,a,a,12,6,17
4660,Mali,MLI,2014,9,6,15,12,n,18
4700,Malta,MLT,2014,11,5,15,22,3,24
5840,Marshall Islands,MHL,2014,9,5,13,9,5,13
4780,Mauritania,MRT,2014,6,6,11,a,a,a
4800,Mauritius,MUS,2014,11,5,15,18,5,22
4840,Mexico,MEX,2014,14,4,17,18,4,22
4845,Micronesia (Federated States of),FSM,2014,a,a,a,8,6,13
4960,Mongolia,MNG,2014,12,6,17,12,6,17
4990,Montenegro,MNE,2014,9,6,14,9,6,14
5000,Montserrat,MSR,2014,11,5,15,11,5,15
5040,Morocco,MAR,2014,9,6,14,9,6,14
5080,Mozambique,MOZ,2014,a,a,a,a,a,a
1040,Myanmar,MMR,2014,5,5,9,5,5,9
5160,Namibia,NAM,2014,7,7,13,7,7,13
5200,Nauru,NRU,2014,14,4,17,14,4,17
5240,Nepal,NPL,2014,a,a,a,8,5,12
5280,Netherlands,NLD,2014,12,5,16,m,m,m
5540,New Zealand,NZL,2014,10,6,15,15,5,19
5580,Nicaragua,NIC,2014,7,5,11,9,6,14
5620,Niger,NER,2014,a,a,a,a,a,a
5660,Nigeria,NGA,2014,9,6,14,9,6,14
5700,Niue,NIU,2014,11,5,15,13,4,16
5780,Norway,NOR,2014,10,6,15,10,6,15
5800,Oman,OMN,2014,a,a,a,12,6,17
5860,Pakistan,PAK,2014,12,5,16,12,5,16
955,Palau,PLW,2014,12,6,17,12,6,17
5880,Palestine,PSE,2014,10,6,15,12,6,17
5900,Panama,PAN,2014,11,4,14,14,4,17
5980,Papua New Guinea,PNG,2014,a,a,a,a,a,a
6000,Paraguay,PRY,2014,13,5,17,15,3,17
6040,Peru,PER,2014,14,3,16,19,3,21
6080,Philippines,PHL,2014,13,5,17,13,5,17
6160,Poland,POL,2014,12,6,17,12,6,17
6200,Portugal,PRT,2014,9,6,14,9,6,14
6300,Puerto Rico,PRI,2014,13,5,17,17,5,21
6340,Qatar,QAT,2014,9,6,14,9,6,14
4070,Republic of Korea,KOR,2014,9,6,14,9,6,14
6220,Republic of Moldova,MDA,2014,9,7,15,21,3,22
6420,Romania,ROU,2014,10,7,16,16,3,18
6430,Russian Federation,RUS,2014,10,6,15,10,6,15
6460,Rwanda,RWA,2014,6,7,12,6,7,12
6560,Saint Kitts and Nevis,KNA,2014,11,5,15,11,5,15
6620,Saint Lucia,LCA,2014,10,5,14,10,5,14
6700,Saint Vincent and the Grenadines,VCT,2014,12,5,16,m,m,m
8820,Samoa,WSM,2014,8,5,12,8,5,12
6740,San Marino,SMR,2014,10,6,15,m,m,m
6780,Sao Tome and Principe,STP,2014,6,6,11,6,6,11
6820,Saudi Arabia,SAU,2014,9,6,14,12,6,17
6860,Senegal,SEN,2014,11,6,16,11,6,16
6880,Serbia,SRB,2014,8,7,14,12,7,18
6900,Seychelles,SYC,2014,11,6,16,11,6,16
6940,Sierra Leone,SLE,2014,9,6,14,9,6,14
7020,Singapore,SGP,2014,6,6,11,a,a,a
6720,Slovakia,SVK,2014,10,6,15,18,6,23
6760,Slovenia,SVN,2014,9,6,14,9,6,14
900,Solomon Islands,SLB,2014,a,a,a,a,a,a
7060,Somalia,SOM,2014,a,a,a,a,a,a
7100,South Africa,ZAF,2014,9,7,15,m,m,m
7240,Spain,ESP,2014,10,6,15,10,6,15
7340,Sri Lanka,LKA,2014,9,5,13,13,5,17
7400,Suriname,SUR,2014,6,7,12,m,m,m
7480,Swaziland,SWZ,2014,7,6,12,7,6,12
7520,Sweden,SWE,2014,9,7,15,9,7,15
7560,Switzerland,CHE,2014,12,4,15,12,4,15
7600,Syrian Arab Republic,SYR,2014,9,6,14,20,3,22
7610,Tajikistan,TJK,2014,9,7,15,9,7,15
7640,Thailand,THA,2014,9,6,14,12,6,17
4480,The former Yugoslav Republic of Macedonia,MKD,2014,9,6,14,9,6,14
6260,Timor-Leste,TLS,2014,9,6,14,9,6,14
7680,Togo,TGO,2014,10,6,15,6,6,10
7720,Tokelau,TKL,2014,11,5,15,m,m,m
7760,Tonga,TON,2014,15,4,18,13,3,15
7800,Trinidad and Tobago,TTO,2014,6,6,11,m,m,m
7880,Tunisia,TUN,2014,9,6,14,11,6,16
7920,Turkey,TUR,2014,12,6,17,m,m,m
7940,Turkmenistan,TKM,2014,12,6,17,15,3,17
7960,Turks and Caicos Islands,TCA,2014,13,4,16,m,m,m
7780,Tuvalu,TUV,2014,8,7,14,a,a,a
8000,Uganda,UGA,2014,7,6,12,a,a,a
8070,Ukraine,UKR,2014,11,6,16,11,6,16
8120,United Arab Emirates,ARE,2014,6,6,11,12,6,17
8260,United Kingdom of Great Britain and Northern Ireland,GBR,2014,11,5,15,19,3,21
7620,United Republic of Tanzania,TZA,2014,7,7,13,9,5,13
8400,United States of America,USA,2014,12,6,17,13,5,17
8580,Uruguay,URY,2014,14,4,17,m,m,m
8600,Uzbekistan,UZB,2014,11,7,17,11,7,17
5480,Vanuatu,VUT,2014,a,a,a,a,a,a
8620,Venezuela (Bolivarian Republic of),VEN,2014,15,n,16,22,n,21
8680,Viet Nam,VNM,2014,10,5,14,10,5,14
8850,Yemen,YEM,2014,9,6,14,9,6,14
8940,Zambia,ZMB,2014,a,a,a,a,a,a
7160,Zimbabwe,ZWE,2014,7,6,12,a,a,a
