Code,UIS_Source_Code,ISO_Code,Source,UIS_Target_Code,ISO_Code,Target,Total
36040,360,AUS,Australia,40,AFG,Afghanistan,"4,057,131 "
360500,360,AUS,Australia,500,BGD,Bangladesh,"61,074,144 "
360640,360,AUS,Australia,640,BTN,Bhutan,"136,103 "
3604060,360,AUS,Australia,4060,KHM,Cambodia,"7,397 "
3601840,360,AUS,Australia,1840,COK,Cook Islands,"9,597 "
3602420,360,AUS,Australia,2420,FJI,Fiji,"3,416,974 "
3603560,360,AUS,Australia,3560,IND,India,"7,958 "
3603600,360,AUS,Australia,3600,IDN,Indonesia,"45,539,090 "
3603680,360,AUS,Australia,3680,IRQ,Iraq,"646,990 "
3602960,360,AUS,Australia,2960,KIR,Kiribati,"6,889,470 "
3604180,360,AUS,Australia,4180,LAO,Lao People's Democratic Republic,"10,220,128 "
3604620,360,AUS,Australia,4620,MDV,Maldives,"158,036 "
3605840,360,AUS,Australia,5840,MHL,Marshall Islands,"9,597 "
3604845,360,AUS,Australia,4845,FSM,Micronesia,"19,836 "
3604960,360,AUS,Australia,4960,MNG,Mongolia,"499,949 "
3601040,360,AUS,Australia,1040,MMR,Myanmar,"12,073,058 "
3605200,360,AUS,Australia,5200,NRU,Nauru,"157,711 "
3605240,360,AUS,Australia,5240,NPL,Nepal,"6,056,854 "
3605700,360,AUS,Australia,5700,NIU,Niue,"1,737,858 "
3605860,360,AUS,Australia,5860,PAK,Pakistan,"10,117,044 "
360955,360,AUS,Australia,955,PLW,Palau,"78,992 "
3605980,360,AUS,Australia,5980,PNG,Papua New Guinea,"33,235,066 "
3606080,360,AUS,Australia,6080,PHL,Philippines,"34,867,355 "
3608820,360,AUS,Australia,8820,WSM,Samoa,"2,402,039 "
360900,360,AUS,Australia,900,SLB,Solomon Islands,"1,858,106 "
3607340,360,AUS,Australia,7340,LKA,Sri Lanka,"4,557,799 "
3606260,360,AUS,Australia,6260,TLS,Timor-Leste,"2,499,322 "
3607760,360,AUS,Australia,7760,TON,Tonga,"2,892,163 "
3607780,360,AUS,Australia,7780,TUV,Tuvalu,"839,432 "
3605480,360,AUS,Australia,5480,VUT,Vanuatu,"4,524,106 "
3608680,360,AUS,Australia,8680,VNM,Viet Nam,"111,128 "
40040,400,AUT,Austria,40,AFG,Afghanistan,579 
40080,400,AUT,Austria,80,ALB,Albania,"232,321 "
400120,400,AUT,Austria,120,DZA,Algeria,919 
400320,400,AUT,Austria,320,ARG,Argentina,"1,774 "
400340,400,AUT,Austria,340,ARM,Armenia,"6,249 "
400380,400,AUT,Austria,380,AZE,Azerbaijan,"1,427 "
400500,400,AUT,Austria,500,BGD,Bangladesh,"24,206 "
4008050,400,AUT,Austria,8050,BLR,Belarus,"2,482 "
4002040,400,AUT,Austria,2040,BEN,Benin,"1,176 "
400680,400,AUT,Austria,680,BOL,Bolivia,122 
400570,400,AUT,Austria,570,BIH,Bosnia and Herzegovina,"135,965 "
400760,400,AUT,Austria,760,BRA,Brazil,"24,381 "
4008540,400,AUT,Austria,8540,BFA,Burkina Faso,"23,710 "
4001080,400,AUT,Austria,1080,BDI,Burundi,"12,854 "
4001320,400,AUT,Austria,1320,CPV,Cabo Verde,206 
4004060,400,AUT,Austria,4060,KHM,Cambodia,"6,316 "
4001200,400,AUT,Austria,1200,CMR,Cameroon,"1,976 "
4001520,400,AUT,Austria,1520,CHL,Chile,318 
4001560,400,AUT,Austria,1560,CHN,China,"4,447 "
4001700,400,AUT,Austria,1700,COL,Colombia,"7,872 "
4001780,400,AUT,Austria,1780,COG,Congo,"4,905 "
4003840,400,AUT,Austria,3840,CIV,Côte d'Ivoire,"2,371 "
4001920,400,AUT,Austria,1920,CUB,Cuba,"5,595 "
4008920,400,AUT,Austria,8920,COD,Democratic Republic of the Congo,"4,893 "
4002200,400,AUT,Austria,2200,EGY,Egypt,"2,371 "
4002300,400,AUT,Austria,2300,ETH,Ethiopia,"82,755 "
4002700,400,AUT,Austria,2700,GMB,Gambia,"4,979 "
4002720,400,AUT,Austria,2720,GEO,Georgia,"5,593 "
4002880,400,AUT,Austria,2880,GHA,Ghana,"18,794 "
4003200,400,AUT,Austria,3200,GTM,Guatemala,"50,418 "
4003240,400,AUT,Austria,3240,GIN,Guinea,"7,198 "
4003560,400,AUT,Austria,3560,IND,India,"46,249 "
