Code,Name,Lat,Lon,region1,region2
AFG,Afghanistan,34.427919,67.297715,Asia,40535
ALB,Albania,41.115789,20.036435,Europe,40530
DZA,Algeria,28.648929,2.550384,Africa,40525
AND,Andorra,42.549993,1.587428,Europe,40500
AGO,Angola,-11.553455,17.442383,Africa,40540
AIA,Anguilla,18.25,-63.1667,Americas,40520
ATG,Antigua/Barbuda,17.326884,-61.79147,Americas,40520
ARG,Argentina,-34.069346,-64.554019,Americas,40520
ARM,Armenia,40.143019,45.185632,Asia,40505
ABW,Aruba,12.5,-69.9667,Americas,40520
AUS,Australia,-25.457025,135.343151,Oceania,40515
AUT,Austria,47.559579,13.460688,Europe,40500
AZE,Azerbaijan,40.217768,47.780519,Asia,40505
BHS,Bahamas,24.367406,-76.261706,Americas,40520
BHR,Bahrain,25.980963,50.601739,Asia,40525
BGD,Bangladesh,23.784454,89.963937,Asia,40535
BRB,Barbados,13.184835,-59.561554,Americas,40520
BLR,Belarus,53.460297,27.984375,Europe,40530
BEL,Belgium,50.653901,4.625375,Europe,40500
BLZ,Belize,17.299323,-88.550048,Americas,40520
BEN,Benin,9.398571,2.331568,Africa,40540
BMU,Bermuda,32.31284,-64.744856,Americas,40520
BTN,Bhutan,27.394079,90.504295,Asia,40535
BOL,Bolivia,-16.733626,-64.475512,Americas,40520
BIH,Bosnia/Herzeg.,44.133901,17.883773,Europe,40530
BWA,Botswana,-22.285449,23.925844,Africa,40540
BRA,Brazil,-9.872666,-53.169127,Americas,40520
VGB,British Virgin Is,18.5,-64.5,Americas,40520
BRN,Brunei,4.581283,114.819152,Asia,40515
BGR,Bulgaria,42.808479,25.268387,Europe,40530
BFA,Burkina Faso,12.146713,-1.747007,Africa,40540
BDI,Burundi,-3.241797,29.899848,Africa,40540
CAF,C. African Rep.,6.342249,20.686201,Africa,40540
KHM,Cambodia,12.637796,105.047609,Asia,40515
CMR,Cameroon,6.626626,13.030155,Africa,40540
CAN,Canada,58.622302,-102.046052,Americas,40500
CPV,Cape Verde,16.067023,-23.958685,Africa,40540
CYM,Cayman Islands,19.307918,-81.251874,Americas,40520
TCD,Chad,14.949141,18.460461,Africa,40540
CHL,Chile,-37.616333,-72.198999,Americas,40520
CHN,China,35.703649,107.400296,Asia,40515
HKG,"China, Hong Kong",22.346283,114.11677,Asia,40515
MAC,"China, Macao",22.179248,113.552192,Asia,40515
COL,Colombia,4.25306,-72.868391,Americas,40520
COM,Comoros,-11.98023,43.784626,Africa,40540
COG,Congo,-0.924188,14.768154,Africa,40540
COK,Cook Islands,-20.185403,-159.250086,Oceania,40515
CRI,Costa Rica,9.746003,-84.100237,Americas,40520
HRV,Croatia,44.444795,16.343293,Europe,40530
CUB,Cuba,21.721155,-79.477337,Americas,40520
CYP,Cyprus,35.145334,33.440153,Asia,40510
CZE,Czech Rep.,49.811836,15.49225,Europe,40530
DNK,Denmark,55.890028,10.392256,Europe,40500
DJI,Djibouti,11.73873,42.638766,Africa,40540
DMA,Dominica,15.426026,-61.359058,Americas,40520
DOM,Dominican Rep.,18.81433,-70.277471,Americas,40520
PRK,DPR Korea,40.076414,127.206462,Asia,40515
COD,DR Congo,-4.015587,23.376716,Africa,40540
ECU,Ecuador,-1.147179,-78.247751,Americas,40520
EGY,Egypt,27.185703,30.479459,Africa,40525
SLV,El Salvador,13.726028,-88.822732,Americas,40520
GNQ,Equatorial Guinea,1.98389,10.036472,Africa,40540
ERI,Eritrea,14.971691,39.582445,Africa,40540
EST,Estonia,58.663435,24.607346,Europe,40530
ETH,Ethiopia,8.842762,39.863899,Africa,40540
FJI,Fiji,-17.341633,158.940593,Oceania,40515
FIN,Finland,64.500053,27.218937,Europe,40500
