Code,UIS_Source_Code,ISO_Source_Code,Source,UIS_Target_Code,ISO_Target_Code,Target,Total,Total2
36040,360,AUS,Australia,40,AFG,Afghanistan,4.06,"4,057,131 "
360500,400,AUT,Austria,40,AFG,Afghanistan,0.00,579 
360640,560,BEL,Belgium,40,AFG,Afghanistan,0.32,"320,213 "
3604060,1240,CAN,Canada,40,AFG,Afghanistan,16.54,"16,542,221 "
3601840,2020,CZE,Czech Republic,40,AFG,Afghanistan,0.11,"113,018 "
3602420,2080,DNK,Denmark,40,AFG,Afghanistan,12.64,"12,639,064 "
3603560,2460,FIN,Finland,40,AFG,Afghanistan,0.04,"39,522 "
3603600,2500,FRA,France,40,AFG,Afghanistan,2.35,"2,349,570 "
3603680,2760,DEU,Germany,40,AFG,Afghanistan,38.06,"38,064,611 "
3602960,3720,IRL,Ireland,40,AFG,Afghanistan,0.16,"159,674 "
3604180,3800,ITA,Italy,40,AFG,Afghanistan,0.83,"830,422 "
3604620,3920,JPN,Japan,40,AFG,Afghanistan,39.85,"39,847,317 "
3605840,5280,NLD,Netherlands,40,AFG,Afghanistan,0.36,"359,583 "
3604845,5540,NZL,New Zealand,40,AFG,Afghanistan,0.34,"337,103 "
3604960,5780,NOR,Norway,40,AFG,Afghanistan,4.89,"4,894,908 "
3601040,6160,POL,Poland,40,AFG,Afghanistan,0.03,"25,438 "
3605200,4070,KOR,Republic of Korea,40,AFG,Afghanistan,3.31,"3,310,563 "
3605240,6720,SVK,Slovakia,40,AFG,Afghanistan,0.01,"11,645 "
3605700,6760,SVN,Slovenia,40,AFG,Afghanistan,0.04,"43,069 "
3605860,7240,ESP,Spain,40,AFG,Afghanistan,0.08,"80,334 "
360955,7520,SWE,Sweden,40,AFG,Afghanistan,23.29,"23,290,808 "
3605980,7560,CHE,Switzerland,40,AFG,Afghanistan,1.73,"1,732,163 "
3606080,8120,ARE,United Arab Emirates,40,AFG,Afghanistan,0.05,"51,362 "
3608820,8260,GBR,United Kingdom of Great Britain and Northern Ireland,40,AFG,Afghanistan,36.65,"36,653,434 "
360900,8400,USA,United States,40,AFG,Afghanistan,44.34,"44,338,390 "
3607340,400,AUT,Austria,80,ALB,Albania,0.23,"232,321 "
3606260,2500,FRA,France,80,ALB,Albania,0.06,"59,023 "
3607760,2760,DEU,Germany,80,ALB,Albania,0.91,"910,511 "
3607780,3000,GRC,Greece,80,ALB,Albania,0.09,"91,737 "
3605480,3800,ITA,Italy,80,ALB,Albania,1.59,"1,588,515 "
3608680,3920,JPN,Japan,80,ALB,Albania,0.06,"59,023 "
40040,5780,NOR,Norway,80,ALB,Albania,0.01,"5,104 "
40080,6720,SVK,Slovakia,80,ALB,Albania,0.00,"2,150 "
400120,7560,CHE,Switzerland,80,ALB,Albania,0.11,"110,274 "
400320,8120,ARE,United Arab Emirates,80,ALB,Albania,0.01,"6,806 "
400340,8260,GBR,United Kingdom of Great Britain and Northern Ireland,80,ALB,Albania,0.14,"141,137 "
400380,8400,USA,United States,80,ALB,Albania,1.47,"1,471,805 "
400500,400,AUT,Austria,120,DZA,Algeria,0.00,919 
4008050,1240,CAN,Canada,120,DZA,Algeria,0.01,"12,134 "
4002040,2020,CZE,Czech Republic,120,DZA,Algeria,0.01,"7,783 "
400680,2500,FRA,France,120,DZA,Algeria,1.57,"1,565,293 "
400570,2760,DEU,Germany,120,DZA,Algeria,0.03,"30,237 "
400760,3800,ITA,Italy,120,DZA,Algeria,0.01,"6,016 "
4008540,3920,JPN,Japan,120,DZA,Algeria,0.00,"4,895 "
4001080,4070,KOR,Republic of Korea,120,DZA,Algeria,0.00,"3,627 "
4001320,7240,ESP,Spain,120,DZA,Algeria,0.50,"499,857 "
4004060,8260,GBR,United Kingdom of Great Britain and Northern Ireland,120,DZA,Algeria,0.66,"659,563 "
4001200,8400,USA,United States,120,DZA,Algeria,0.01,"8,896 "
4001520,2020,CZE,Czech Republic,240,AGO,Angola,0.13,"129,764 "
4001560,2080,DNK,Denmark,240,AGO,Angola,0.01,"5,613 "
4001700,2460,FIN,Finland,240,AGO,Angola,0.31,"312,813 "
4001780,2500,FRA,France,240,AGO,Angola,0.80,"804,955 "
4003840,2760,DEU,Germany,240,AGO,Angola,0.01,"10,062 "
4001920,3800,ITA,Italy,240,AGO,Angola,0.08,"84,348 "
4008920,3920,JPN,Japan,240,AGO,Angola,0.75,"751,463 "
4002200,5780,NOR,Norway,240,AGO,Angola,0.27,"269,800 "
4002300,6200,PRT,Portugal,240,AGO,Angola,0.53,"533,458 "
4002700,4070,KOR,Republic of Korea,240,AGO,Angola,0.21,"214,044 "
